,COUNTRY,CODE,GDP (BILLIONS),count
156,Paraguay,PRY,31.3,19187.0
157,Peru,PER,208.2,77816.0
158,Philippines,PHL,284.6,213482.0
159,Poland,POL,552.2,0.0
160,Portugal,PRT,228.2,0.0
161,Puerto Rico,PRI,93.52,27.0
162,Qatar,QAT,212.0,0.0
163,Romania,ROU,199.0,0.0
164,Russia,RUS,2057.0,0.0
165,Rwanda,RWA,8.0,14271.0
166,Saint Kitts and Nevis,KNA,0.81,0.0
167,Saint Lucia,LCA,1.35,0.0
168,Saint Martin,MAF,0.56,0.0
169,Saint Pierre and Miquelon,SPM,0.22,0.0
170,Saint Vincent and the Grenadines,VCT,0.75,20.0
171,Samoa,WSM,0.83,13254.0
172,San Marino,SMR,1.86,0.0
173,Sao Tome and Principe,STP,0.36,0.0
174,Saudi Arabia,SAU,777.9,0.0
175,Senegal,SEN,15.88,10867.0
176,Serbia,SRB,42.65,0.0
177,Seychelles,SYC,1.47,0.0
178,Sierra Leone,SLE,5.41,12723.0
179,Singapore,SGP,307.9,0.0
180,Sint Maarten,SXM,304.1,0.0
181,Slovakia,SVK,99.75,0.0
182,Slovenia,SVN,49.93,0.0
183,Solomon Islands,SLB,1.16,198.0
184,Somalia,SOM,2.37,234.0
185,South Africa,ZAF,341.2,623.0
186,South Sudan,SSD,11.89,5868.0
187,Spain,ESP,1400.0,0.0
188,Sri Lanka,LKA,71.57,255.0
189,Sudan,SDN,70.03,0.0
190,Suriname,SUR,5.27,299.0
191,Swaziland,SWZ,3.84,0.0
192,Sweden,SWE,559.1,0.0
193,Switzerland,CHE,679.0,0.0
194,Syria,SYR,64.7,0.0
195,Taiwan,TWN,529.5,0.0
196,Tajikistan,TJK,9.16,33410.0
197,Tanzania,TZA,36.62,14011.0
198,Thailand,THA,373.8,112.0
199,Timor-Leste,TLS,4.51,3025.0
200,Togo,TGO,4.84,14014.0
201,Tonga,TON,0.49,0.0
202,Trinidad and Tobago,TTO,29.63,0.0
203,Tunisia,TUN,49.12,0.0
204,Turkey,TUR,813.3,1191.0
205,Turkmenistan,TKM,43.5,0.0
206,Tuvalu,TUV,0.04,0.0
207,Uganda,UGA,26.09,39823.0
208,Ukraine,UKR,134.9,4586.0
209,United Arab Emirates,ARE,416.4,0.0
210,United Kingdom,GBR,2848.0,0.0
211,United States,USA,17420.0,5337.0
212,Uruguay,URY,55.6,0.0
213,Uzbekistan,UZB,63.08,0.0
214,Vanuatu,VUT,0.82,4.0
215,Venezuela,VEN,209.2,0.0
216,Vietnam,VNM,187.8,16382.0
217,Virgin Islands,VGB,5.08,0.0
218,West Bank,WBG,6.64,0.0
219,Yemen,YEM,45.45,3921.0
220,Zambia,ZMB,25.61,789.0
221,Zimbabwe,ZWE,13.74,4173.0
